L1,ID1,L2,ID2
fireCompany,1X7X3,municipalCourt,1X3
fireCompany,13X54X301,municipalCourt,4X4
fireCompany,13X54X302,municipalCourt,4X3
fireCompany,13X54X302,municipalCourt,4X4
fireCompany,13X50X303,municipalCourt,4X4
fireCompany,14X53X304,municipalCourt,4X4
fireCompany,13X50X305,municipalCourt,4X2
fireCompany,13X50X305,municipalCourt,4X3
fireCompany,13X50X305,municipalCourt,4X4
fireCompany,14X53X306,municipalCourt,4X6
fireCompany,14X49X307,municipalCourt,4X2
fireCompany,13X51X308,municipalCourt,4X3
fireCompany,15X33X309,municipalCourt,3X8
fireCompany,15X58X310,municipalCourt,3X4
fireCompany,15X58X310,municipalCourt,3X8
fireCompany,13X54X311,municipalCourt,4X4
fireCompany,14X49X312,municipalCourt,4X1
fireCompany,14X53X313,municipalCourt,4X6
fireCompany,13X54X314,municipalCourt,4X3
fireCompany,13X54X314,municipalCourt,4X4
fireCompany,13X50X315,municipalCourt,4X4
fireCompany,13X50X315,municipalCourt,4X6
fireCompany,14X49X316,municipalCourt,4X2
fireCompany,14X49X316,municipalCourt,4X6
fireCompany,13X54X317,municipalCourt,4X4
fireCompany,8X43X318,municipalCourt,3X8
fireCompany,14X46X319,municipalCourt,4X3
fireCompany,14X53X320,municipalCourt,4X6
fireCompany,15X33X321,municipalCourt,3X8
fireCompany,15X58X323,municipalCourt,3X8
fireCompany,14X46X324,municipalCourt,4X2
fireCompany,14X46X324,municipalCourt,4X6
fireCompany,14X49X325,municipalCourt,4X2
fireCompany,14X53X326,municipalCourt,4X4
fireCompany,14X53X326,municipalCourt,4X6
fireCompany,13X47X328,municipalCourt,4X5
fireCompany,13X47X329,municipalCourt,4X5
fireCompany,1X6X33,municipalCourt,1X1
fireCompany,1X6X33,municipalCourt,1X2
fireCompany,8X42X330,municipalCourt,3X5
fireCompany,8X42X330,municipalCourt,3X8
fireCompany,13X51X331,municipalCourt,4X3
fireCompany,15X44X332,municipalCourt,3X7
fireCompany,1X7X34,municipalCourt,1X3
fireCompany,3X12X35,municipalCourt,1X8
fireCompany,3X11X37,municipalCourt,1X7
fireCompany,3X11X37,municipalCourt,1X10
fireCompany,7X15X38,municipalCourt,2X1
fireCompany,3X10X39,municipalCourt,1X6
fireCompany,3X10X39,municipalCourt,1X9
fireCompany,1X1X4,municipalCourt,1X1
fireCompany,3X9X40,municipalCourt,1X3
fireCompany,7X19X42,municipalCourt,2X2
fireCompany,7X19X43,municipalCourt,2X2
fireCompany,3X10X44,municipalCourt,1X6
fireCompany,3X10X44,municipalCourt,1X9
